TimeStamp,Open,High,Low,Close
2009-01-02 21:00:00,1.38520,1.39630,1.33119,1.34307
2009-01-09 21:00:00,1.34309,1.34870,1.30262,1.32899
2009-01-16 21:00:00,1.32895,1.33865,1.27666,1.29865
2009-01-23 21:00:00,1.29863,1.33305,1.27778,1.28044
2009-01-30 21:00:00,1.28043,1.30698,1.27040,1.29254
2009-02-06 21:00:00,1.29257,1.30940,1.27214,1.28808
2009-02-13 21:00:00,1.28808,1.28853,1.25134,1.28360
2009-02-20 21:00:00,1.28366,1.29920,1.26047,1.26762
2009-02-27 21:00:00,1.26759,1.27544,1.24562,1.26360
2009-03-06 21:00:00,1.26368,1.29576,1.25562,1.29137
2009-03-13 20:00:00,1.29137,1.37390,1.28370,1.35661
2009-03-20 20:00:00,1.35660,1.37359,1.32576,1.32988
2009-03-27 20:00:00,1.32975,1.35170,1.31131,1.34868
2009-04-03 20:00:00,1.34872,1.35825,1.30925,1.31760
2009-04-10 20:00:00,1.31761,1.33919,1.30178,1.30260
2009-04-17 20:00:00,1.30255,1.33010,1.28854,1.32414
2009-04-24 20:00:00,1.32414,1.33856,1.29649,1.32665
2009-05-01 20:00:00,1.32655,1.36328,1.32125,1.36260
2009-05-08 20:00:00,1.36270,1.37222,1.34614,1.34898
2009-05-15 20:00:00,1.34893,1.40509,1.34236,1.40019
2009-05-22 20:00:00,1.40028,1.41692,1.37928,1.41370
2009-05-29 20:00:00,1.41375,1.43386,1.39327,1.39648
2009-06-05 20:00:00,1.39650,1.41778,1.38058,1.39986
2009-06-12 20:00:00,1.39976,1.40336,1.37482,1.39444
2009-06-19 20:00:00,1.39453,1.41384,1.38268,1.40696
2009-06-26 20:00:00,1.40693,1.42012,1.39284,1.39769
2009-07-03 20:00:00,1.39759,1.40731,1.38328,1.39488
2009-07-10 20:00:00,1.39486,1.41662,1.38979,1.41004
2009-07-17 20:00:00,1.40998,1.42914,1.40960,1.42150
2009-07-24 20:00:00,1.42148,1.43046,1.40078,1.42526
2009-07-31 20:00:00,1.42523,1.44476,1.41544,1.41708
2009-08-07 20:00:00,1.41711,1.43278,1.40874,1.41893
2009-08-14 20:00:00,1.41895,1.43764,1.40456,1.43364
2009-08-21 20:00:00,1.43362,1.44066,1.42072,1.43004
2009-08-28 20:00:00,1.43006,1.43782,1.41778,1.43037
2009-09-04 20:00:00,1.43040,1.46352,1.42907,1.45825
2009-09-11 20:00:00,1.45828,1.47672,1.45162,1.47027
2009-09-18 20:00:00,1.47024,1.48446,1.46120,1.46693
2009-09-25 20:00:00,1.46690,1.47206,1.44808,1.45706
2009-10-02 20:00:00,1.45708,1.48178,1.45706,1.47082
2009-10-09 20:00:00,1.47085,1.49678,1.46768,1.48942
2009-10-16 20:00:00,1.48940,1.50596,1.48285,1.49961
2009-10-23 20:00:00,1.49963,1.50634,1.46834,1.47164
2009-10-30 20:00:00,1.47161,1.49180,1.46268,1.48464
2009-11-06 21:00:00,1.48461,1.50484,1.48214,1.49211
2009-11-13 21:00:00,1.49209,1.50154,1.48014,1.48617
2009-11-20 21:00:00,1.48620,1.51440,1.48286,1.49680
2009-11-27 21:00:00,1.49682,1.51412,1.48218,1.48451
2009-12-04 21:00:00,1.48454,1.49048,1.45860,1.46291
2009-12-11 21:00:00,1.46294,1.46854,1.42612,1.43360
2009-12-18 21:00:00,1.43358,1.44184,1.42173,1.43880
2009-12-25 21:00:00,1.43580,1.44582,1.42740,1.43120
2010-01-01 21:00:00,1.43120,1.44839,1.42576,1.44163
2010-01-08 21:00:00,1.44166,1.45792,1.43368,1.43796
2010-01-15 21:00:00,1.43793,1.44142,1.40292,1.41401
2010-01-22 21:00:00,1.41404,1.41942,1.38632,1.38635
2010-01-29 21:00:00,1.38638,1.40264,1.35858,1.36656
2010-02-05 21:00:00,1.36654,1.38392,1.35318,1.36175
2010-02-12 21:00:00,1.36178,1.37884,1.34438,1.35945
2010-02-19 21:00:00,1.35949,1.36920,1.34522,1.36161
