DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/04/2010 08:55:00,EUR,Markit Manufacturing PMI,Germany,2,52.700,52.400,53.100
01/04/2010 09:00:00,EUR,Markit Manufacturing PMI,European Monetary Union,1,51.600,51.600,51.600
01/04/2010 09:30:00,EUR,Sentix Investor Confidence,European Monetary Union,1,-3.700,-5.500,-3.400
01/04/2010 15:00:00,USD,ISM Manufacturing PMI,United States,2,54.900,53.600,54.200
01/04/2010 15:00:00,USD,Construction Spending (MoM),United States,1,-0.600,-0.500,-0.200
01/05/2010 08:55:00,EUR,Unemployment Rate s.a.,Germany,1,8.100,8.200,8.100
01/05/2010 08:55:00,EUR,Unemployment Change,Germany,2,-26.000,-5.000,5.000
01/05/2010 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,2,0.900,0.500,0.900
01/05/2010 15:00:00,USD,Pending Home Sales (MoM),United States,2,-16.400,3.900,-2.000
01/05/2010 15:00:00,USD,Factory Orders (MoM),United States,2,1.000,0.800,0.500
01/06/2010 08:55:00,EUR,Markit Services PMI,Germany,2,52.700,53.100,53.100
01/06/2010 09:00:00,EUR,Markit Services PMI,European Monetary Union,1,53.600,53.700,53.700
01/06/2010 10:00:00,EUR,Industrial New Orders (YoY),European Monetary Union,1,-0.200,-14.700,-11.100
01/06/2010 10:00:00,EUR,Producer Price Index (MoM),European Monetary Union,1,0.200,0.300,0.200
01/06/2010 10:00:00,EUR,Producer Price Index (YoY),European Monetary Union,1,-4.400,-6.600,-4.600
01/06/2010 10:00:00,EUR,Industrial New Orders s.a. (MoM),European Monetary Union,1,-2.400,2.500,-1.000
01/06/2010 12:00:00,USD,MBA Mortgage Applications,United States,1,-22.800,-10.700,
01/06/2010 12:05:59,USD,MBA Mortgage Applications,United States,1,0.500,-22.800,
01/06/2010 13:15:00,USD,ADP Employment Change,United States,2,-61.000,-169.000,-63.000
