DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/09/2015 13:30:00,USD,Average Hourly Earnings (MoM),United States,1,-0.200,0.200,0.200
01/09/2015 13:30:00,USD,Labor Force Participation Rate,United States,2,62.700,62.900,
01/09/2015 13:30:00,USD,Unemployment Rate,United States,3,5.600,5.800,5.700
01/09/2015 15:00:00,USD,Wholesale Inventories,United States,2,0.800,0.600,0.300
01/09/2015 18:20:00,USD,Fed's Lacker speech,United States,1,,,
01/12/2015 15:11:26,USD,Labor Market Conditions Index,United States,2,7.300,5.500,
01/12/2015 16:30:00,USD,3-Month Bill Auction,United States,1,0.025,0.030,
01/12/2015 16:30:00,USD,6-Month Bill Auction,United States,1,0.085,0.110,
01/12/2015 17:40:00,USD,Fed's Lockhart speech,United States,1,,,
01/12/2015 18:00:00,USD,3-Year Note Auction,United States,1,0.926,1.066,
01/13/2015 07:00:00,EUR,Wholesale Price Index (YoY),Germany,1,-2.300,-1.100,
01/13/2015 07:00:00,EUR,Wholesale Price Index (MoM),Germany,1,-1.000,-0.700,
01/13/2015 13:55:00,USD,Redbook Index (YoY),United States,1,3.800,4.300,
01/13/2015 13:55:00,USD,Redbook Index (MoM),United States,1,-3.200,-0.600,
01/13/2015 14:00:00,USD,NFIB Business Optimism Index,United States,1,100.400,98.100,98.600
01/13/2015 15:00:00,USD,JOLTS Job Openings,United States,1,4.847,4.834,4.863
01/13/2015 15:00:00,USD,IBD/TIPP Economic Optimism (MoM),United States,1,51.500,48.400,48.900
01/13/2015 16:30:00,USD,4-Week Bill Auction,United States,1,0.015,0.010,
01/13/2015 18:00:00,USD,10-Year Note Auction,United States,1,1.930,2.214,
01/13/2015 19:00:00,USD,Monthly Budget Statement,United States,1,2.000,-56.800,3.000
01/13/2015 22:00:15,USD,Fed Minneapolis's Kocherlakota speech,United States,1,,,
01/14/2015 07:45:00,EUR,Consumer Price Index (EU norm) (MoM),France,1,0.100,-0.200,0.000
01/14/2015 07:45:00,EUR,Consumer Price Index (EU norm) (YoY),France,1,0.100,0.400,0.000
01/14/2015 07:45:00,EUR,Current Account,France,1,0.300,-0.900,
01/14/2015 07:45:00,EUR,Inflation ex-tobacco (MoM),France,2,0.100,-0.200,
01/14/2015 08:30:00,EUR,European Court of Justice Ruling,European Monetary Union,3,,,
01/14/2015 10:00:00,EUR,Industrial Production w.d.a. (YoY),European Monetary Union,2,-0.800,0.800,-0.800
01/14/2015 10:00:00,EUR,Industrial Production s.a. (MoM),European Monetary Union,1,0.100,0.300,0.000
01/14/2015 10:52:58,EUR,10-y Bond Auction,Germany,2,0.520,0.740,
01/14/2015 12:00:00,USD,MBA Mortgage Applications,United States,2,49.100,11.100,
01/14/2015 13:30:00,USD,Retail Sales ex Autos (MoM),United States,2,-0.900,0.500,0.000
01/14/2015 13:30:00,USD,Retail Sales (MoM),United States,3,-0.900,0.400,-0.100
01/14/2015 13:30:00,USD,Import Price Index (MoM),United States,1,-1.900,-1.800,-2.900
01/14/2015 13:30:00,USD,Export Price Index (YoY),United States,1,-3.200,-1.900,
01/14/2015 13:30:00,USD,Import Price Index (YoY),United States,1,-5.500,-2.300,
01/14/2015 13:30:00,USD,Export Price Index (MoM),United States,1,-1.000,-0.800,-1.000
01/14/2015 15:00:00,USD,Business Inventories,United States,2,0.200,0.200,0.200
01/14/2015 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,5.389,-3.062,0.417
01/14/2015 18:00:00,USD,30-Year Bond Auction,United States,1,2.430,2.848,
01/14/2015 19:00:00,USD,Fed's Beige Book,United States,2,,,
01/15/2015 09:00:00,EUR,Real GDP Growth,Germany,1,1.500,0.100,1.500
01/15/2015 10:00:00,EUR,Trade Balance n.s.a.,European Monetary Union,1,21.200,23.600,19.600
01/15/2015 10:00:00,EUR,Trade Balance s.a.,European Monetary Union,1,21.600,19.600,21.300
01/15/2015 13:30:00,USD,NY Empire State Manufacturing Index,United States,1,9.950,-1.230,5.000
01/15/2015 13:30:00,USD,Producer Price Index (YoY),United States,2,1.100,1.400,1.000
01/15/2015 13:30:00,USD,Producer Price Index ex Food & Energy (MoM),United States,1,0.300,0.000,0.100
01/15/2015 13:30:00,USD,Producer Price Index ex Food & Energy (YoY),United States,1,2.100,1.800,1.900
01/15/2015 13:30:00,USD,Producer Price Index (MoM),United States,1,-0.300,-0.200,-0.400
01/15/2015 13:30:00,USD,Initial Jobless Claims,United States,2,317.000,297.000,291.000
01/15/2015 13:30:00,USD,Continuing Jobless Claims,United States,2,2.428,2.475,2.400
01/15/2015 15:00:00,USD,Philadelphia Fed Manufacturing Survey,United States,2,6.300,24.500,19.900
01/15/2015 15:30:00,USD,EIA Natural Gas Storage Change,United States,1,-236.000,-131.000,-224.000
01/15/2015 16:15:00,EUR,German Buba President Weidmann speech,Germany,2,,,
01/16/2015 07:00:00,EUR,Harmonized Index of Consumer Prices (YoY),Germany,2,0.100,0.100,0.100
01/16/2015 07:00:00,EUR,Consumer Price Index (MoM),Germany,2,0.000,0.000,0.000
01/16/2015 07:00:00,EUR,Consumer Price Index (YoY),Germany,2,0.200,0.200,0.200
01/16/2015 07:00:00,EUR,Harmonized Index of Consumer Prices (MoM),Germany,2,0.100,0.100,0.100
01/16/2015 07:45:00,EUR,Budget,France,1,-90.800,-84.700,
01/16/2015 08:30:00,EUR,Markit PMI Composite,Germany,1,51.400,52.000,
01/16/2015 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,3,-0.200,-0.200,-0.200
01/16/2015 10:00:00,EUR,Consumer Price Index - Core (YoY),European Monetary Union,3,0.700,0.800,0.800
01/16/2015 10:00:00,EUR,Consumer Price Index (MoM),European Monetary Union,1,-0.100,-0.200,-0.100
01/16/2015 13:30:00,USD,Consumer Price Index Core s.a,United States,1,239.340,239.330,
01/16/2015 13:30:00,USD,Consumer Price Index (MoM),United States,2,-0.400,-0.300,-0.400
01/16/2015 13:30:00,USD,Consumer Price Index n.s.a (MoM),United States,1,234.810,236.150,234.700
01/16/2015 13:30:00,USD,Consumer Price Index ex Food & Energy (MoM),United States,2,0.000,0.100,0.100
01/16/2015 13:30:00,USD,Consumer Price Index ex Food & Energy (YoY),United States,3,1.600,1.700,1.700
01/16/2015 13:30:00,USD,Consumer Price Index (YoY),United States,3,0.800,1.300,0.700
01/16/2015 14:15:00,USD,Capacity Utilization,United States,2,79.700,80.000,80.000
01/16/2015 14:15:00,USD,Industrial Production (MoM),United States,2,-0.300,1.300,0.000
01/16/2015 14:55:00,USD,Michigan Consumer Sentiment Index,United States,2,98.200,93.600,94.100
01/16/2015 16:00:00,USD,Fed's Williams speech,United States,1,,,
01/16/2015 21:00:00,USD,Net Long-Term TIC Flows,United States,2,33.500,-1.400,27.300
01/16/2015 21:00:00,USD,Total Net TIC Flows,United States,1,-14.300,179.500,
01/17/2015 13:50:00,USD,Fed's Lockhart speech,United States,1,,,
01/19/2015 00:00:00,USD,Martin L. King's Birthday,United States,0,,,
01/19/2015 09:00:00,EUR,Current Account n.s.a,European Monetary Union,1,26.500,29.700,
01/19/2015 09:00:00,EUR,Current Account s.a,European Monetary Union,1,19.900,19.500,21.300
01/19/2015 10:00:00,EUR,Construction Output w.d.a (YoY),European Monetary Union,1,0.500,1.400,
01/19/2015 10:00:00,EUR,Construction Output  s.a (MoM),European Monetary Union,1,-0.500,1.300,
01/19/2015 11:00:00,EUR,German Buba Monthly Report,Germany,1,,,
01/20/2015 07:00:00,EUR,Producer Price Index (MoM),Germany,1,-0.700,0.000,-0.400
01/20/2015 07:00:00,EUR,Producer Price Index (YoY),Germany,1,-1.700,-0.900,-1.400
01/20/2015 10:00:00,EUR,ZEW Survey - Economic Sentiment,Germany,3,48.400,34.900,40.000
01/20/2015 10:00:00,EUR,ZEW Survey - Current Situation,Germany,2,22.400,10.000,14.900
01/20/2015 10:00:00,EUR,ZEW Survey - Economic Sentiment,European Monetary Union,2,45.200,31.800,37.600
01/20/2015 15:00:00,USD,FOMC Member Powell speech (don't use),United States,1,,,
01/20/2015 15:00:00,USD,NAHB Housing Market Index,United States,2,57.000,58.000,58.000
01/20/2015 16:30:00,USD,3-Month Bill Auction,United States,1,0.025,0.025,
01/20/2015 16:30:00,USD,6-Month Bill Auction,United States,1,0.075,0.085,
01/21/2015 02:00:00,USD,President Obama speech,United States,2,,,
01/21/2015 12:00:00,USD,MBA Mortgage Applications,United States,2,14.200,49.100,
01/21/2015 13:30:00,USD,Housing Starts (MoM),United States,2,1.087,1.043,1.040
01/21/2015 13:30:00,USD,Building Permits (MoM),United States,2,1.060,1.052,1.055
01/21/2015 13:55:00,USD,Redbook Index (YoY),United States,1,3.000,3.800,
01/21/2015 13:55:00,USD,Redbook Index (MoM),United States,1,-3.500,-3.200,
01/21/2015 16:30:00,USD,4-Week Bill Auction,United States,1,0.005,0.015,
01/22/2015 12:45:00,EUR,ECB Interest Rate Decision,European Monetary Union,3,0.050,0.050,
01/22/2015 13:30:00,USD,Continuing Jobless Claims,United States,2,2.456,2.428,2.410
01/22/2015 13:30:00,USD,Initial Jobless Claims,United States,2,308.000,317.000,300.000
01/22/2015 13:30:00,EUR,ECB Monetary Policy Statement and Press Conference,European Monetary Union,3,,,
01/22/2015 14:00:00,USD,Housing Price Index (MoM),United States,1,0.700,0.400,
01/22/2015 15:00:00,EUR,Consumer Confidence,European Monetary Union,2,-8.500,-12.000,-10.500
01/22/2015 15:30:00,USD,EIA Natural Gas Storage Change,United States,1,-216.000,-236.000,-227.000
01/22/2015 16:00:00,USD,EIA Crude Oil Stocks Change,United States,1,10.071,5.389,2.617
01/22/2015 16:00:00,USD,Kansas Fed Manufacturing Activity,United States,1,-2.000,7.000,
01/22/2015 20:00:00,USD,"American Petroleum Institute Monthly Report ",United States,1,,,
01/23/2015 07:45:00,EUR,Business Climate,France,1,100.000,99.000,
01/23/2015 08:00:00,EUR,Markit Manufacturing PMI,France,1,49.500,47.500,48.100
01/23/2015 08:00:00,EUR,Markit Services PMI,France,1,49.500,50.600,50.700
01/23/2015 08:00:00,EUR,Markit PMI Composite,France,1,49.500,49.700,
01/23/2015 08:30:00,EUR,Markit PMI Composite,Germany,1,52.600,51.400,
01/23/2015 08:30:00,EUR,Markit Services PMI,Germany,1,52.700,52.100,52.500
01/23/2015 08:30:00,EUR,Markit Manufacturing PMI,Germany,2,51.000,51.200,51.700
01/23/2015 09:00:00,EUR,Markit Manufacturing PMI,European Monetary Union,2,51.000,50.600,51.000
01/23/2015 09:00:00,EUR,Markit Services PMI,European Monetary Union,1,52.300,51.600,52.000
01/23/2015 09:00:00,EUR,Markit PMI Composite,European Monetary Union,1,52.200,51.400,51.800
01/23/2015 13:30:00,USD,"Chicago Fed National Activity Index ",United States,1,-0.070,0.920,
01/23/2015 14:45:00,USD,Markit Manufacturing PMI,United States,2,53.700,53.900,54.000
01/23/2015 15:00:00,USD,Existing Home Sales Change (MoM),United States,2,2.400,-6.300,2.400
01/23/2015 15:00:00,USD,Existing Home Sales (MoM),United States,1,5.070,4.920,5.060
01/26/2015 09:00:00,EUR,IFO - Expectations,Germany,2,102.000,101.300,102.500
01/26/2015 09:00:00,EUR,IFO - Current Assessment,Germany,2,111.700,110.000,110.700
01/26/2015 09:00:00,EUR,IFO - Business Climate,Germany,2,106.700,105.500,106.300
