DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/03/2011 08:55:00,EUR,Markit Manufacturing PMI,Germany,2,60.700,60.900,60.900
01/03/2011 09:00:00,EUR,Markit Manufacturing PMI,European Monetary Union,2,57.100,56.800,56.800
01/03/2011 15:00:00,USD,ISM Manufacturing PMI,United States,2,58.500,56.600,56.900
01/03/2011 15:00:00,USD,ISM Prices Paid,United States,1,72.500,69.500,71.000
01/03/2011 15:00:00,USD,Construction Spending (MoM),United States,2,-0.200,0.700,0.200
01/04/2011 08:55:00,EUR,Unemployment Change,Germany,2,1.000,-9.000,-12.000
01/04/2011 08:55:40,EUR,Unemployment Rate s.a.,Germany,2,7.500,7.500,
01/04/2011 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,2,1.900,1.900,2.000
01/04/2011 15:00:00,USD,Factory Orders (MoM),United States,2,1.300,-0.700,-0.100
01/04/2011 15:00:00,USD,Durable Goods Orders,United States,1,-0.100,-1.300,
01/04/2011 15:00:00,USD,Durable Goods Orders ex Transportation,United States,1,4.500,2.400,
01/04/2011 19:00:00,USD,FOMC Minutes,United States,2,,,
01/04/2011 22:00:00,USD,Total Vehicle Sales,United States,1,12.550,12.260,12.300
01/05/2011 08:55:00,EUR,Markit Services PMI,Germany,2,59.200,58.300,58.300
01/05/2011 09:00:00,EUR,Markit Services PMI,European Monetary Union,2,54.200,53.700,53.700
01/05/2011 10:00:00,EUR,Industrial New Orders (YoY),European Monetary Union,1,14.700,13.400,18.800
01/05/2011 10:00:00,EUR,Producer Price Index (YoY),European Monetary Union,2,4.500,4.300,4.400
01/05/2011 10:00:00,EUR,Industrial New Orders s.a. (MoM),European Monetary Union,2,1.400,-4.200,1.500
01/05/2011 10:00:54,EUR,Producer Price Index (MoM),European Monetary Union,2,0.400,0.400,0.300
01/05/2011 12:00:00,USD,MBA Mortgage Applications,United States,1,-3.900,-18.600,
01/05/2011 12:00:20,USD,MBA Mortgage Applications,United States,1,2.300,-3.900,
01/05/2011 13:15:00,USD,ADP Employment Change,United States,2,247.000,92.000,100.000
01/05/2011 15:00:32,USD,ISM Non-Manufacturing PMI,United States,2,57.100,55.000,55.600
01/05/2011 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,-4.200,-1.300,
01/06/2011 10:00:00,EUR,Industrial Confidence,European Monetary Union,2,5.100,1.800,1.900
01/06/2011 10:00:00,EUR,Economic Sentiment Indicator,European Monetary Union,1,106.900,105.600,105.500
01/06/2011 10:00:00,EUR,Consumer Confidence,European Monetary Union,2,-11.000,-11.000,-9.000
01/06/2011 10:00:00,EUR,Retail Sales (YoY),European Monetary Union,2,1.000,0.900,2.100
01/06/2011 10:00:00,EUR,Retail Sales (MoM),European Monetary Union,2,-0.100,0.000,0.300
01/06/2011 11:00:00,EUR,Factory Orders n.s.a. (YoY),Germany,1,20.600,18.200,15.800
01/06/2011 11:00:00,EUR,Factory Orders s.a. (MoM),Germany,2,5.200,1.900,0.900
01/06/2011 13:30:00,USD,Initial Jobless Claims,United States,1,410.000,391.000,400.000
01/06/2011 13:30:00,USD,Continuing Jobless Claims,United States,1,4.127,4.150,4.090
01/07/2011 07:00:00,EUR,Trade Balance s.a.,Germany,2,11.900,14.300,14.500
01/07/2011 07:00:00,EUR,Current Account n.s.a.,Germany,1,12.900,12.100,15.500
01/07/2011 07:00:47,EUR,Retail Sales (MoM),Germany,1,-1.300,0.100,1.100
01/07/2011 07:45:00,EUR,Trade Balance EUR,France,1,-4.100,,
01/07/2011 10:00:00,EUR,Gross Domestic Product s.a. (YoY),European Monetary Union,2,1.900,1.900,1.900
01/07/2011 10:00:00,EUR,Gross Domestic Product s.a. (QoQ),European Monetary Union,2,0.300,0.400,0.400
