DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/04/2016 08:50:00,EUR,Markit Manufacturing PMI,France,1,51.400,51.600,
01/04/2016 08:55:00,EUR,Markit Manufacturing PMI,Germany,2,53.200,53.000,53.000
01/04/2016 09:00:00,EUR,Markit Manufacturing PMI,European Monetary Union,2,53.200,53.100,53.100
01/04/2016 13:00:00,EUR,Consumer Price Index (YoY),Germany,2,0.300,0.400,0.600
01/04/2016 13:00:00,EUR,Consumer Price Index (MoM),Germany,2,-0.100,0.100,0.200
01/04/2016 13:00:00,EUR,Harmonized Index of Consumer Prices (YoY),Germany,2,0.200,0.300,0.400
01/04/2016 13:00:00,EUR,Harmonized Index of Consumer Prices (MoM),Germany,2,0.000,0.100,0.200
01/04/2016 14:45:00,USD,Markit Manufacturing PMI,United States,2,51.200,51.300,
01/04/2016 15:00:00,USD,ISM Manufacturing PMI,United States,3,48.200,48.600,49.000
01/04/2016 15:00:00,USD,ISM Prices Paid,United States,3,33.500,35.500,35.200
01/04/2016 15:00:00,USD,Construction Spending (MoM),United States,2,-0.400,1.000,0.600
01/04/2016 16:30:00,USD,3-Month Bill Auction,United States,1,0.215,0.260,
01/04/2016 16:30:00,USD,6-Month Bill Auction,United States,1,0.500,0.550,
01/04/2016 19:30:00,USD,CFTC USD NC Net Positions,United States,1,-95.200,,
01/04/2016 19:30:00,USD,CFTC Gold NC Net Positions,United States,1,19.100,,
01/04/2016 19:30:00,USD,CFTC Oil NC Net Positions,United States,1,196.400,,
01/04/2016 19:30:00,EUR,CFTC EUR NC Net Positions,European Monetary Union,1,-160.600,,
01/05/2016 08:55:00,EUR,Unemployment Change,Germany,2,-14.000,-13.000,
01/05/2016 08:55:00,EUR,Unemployment Rate s.a.,Germany,2,6.300,6.300,
01/05/2016 10:00:00,EUR,Consumer Price Index - Core (YoY),European Monetary Union,3,0.800,0.900,0.900
01/05/2016 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,3,0.200,0.200,0.300
01/05/2016 13:55:00,USD,Redbook Index (YoY),United States,1,2.900,2.500,
01/05/2016 13:55:00,USD,Redbook Index (MoM),United States,1,-0.300,-0.500,
01/05/2016 14:45:00,USD,ISM-NY Business Conditions Index,United States,1,62.000,60.700,
01/05/2016 16:30:00,USD,52-Week Bill Auction,United States,1,0.670,0.740,
01/05/2016 16:30:00,USD,4-Week Bill Auction,United States,1,0.200,0.170,
01/05/2016 20:01:54,USD,Total Vehicle Sales,United States,1,17.370,18.190,18.100
01/05/2016 21:30:00,USD,API Weekly Crude Oil Stock,United States,1,-5.600,2.900,
01/06/2016 07:45:00,EUR,Consumer Confidence,France,1,96.000,96.000,95.000
01/06/2016 08:50:00,EUR,Markit PMI Composite,France,1,50.100,50.300,
01/06/2016 08:50:00,EUR,Markit Services PMI,France,1,49.800,50.000,50.000
01/06/2016 08:55:00,EUR,Markit PMI Composite,Germany,1,55.500,54.900,
01/06/2016 08:55:00,EUR,Markit Services PMI,Germany,1,56.000,55.400,55.400
01/06/2016 09:00:00,EUR,Markit Services PMI,European Monetary Union,2,54.200,53.900,53.900
01/06/2016 09:00:00,EUR,Markit PMI Composite,European Monetary Union,2,54.300,54.000,54.000
01/06/2016 10:00:00,EUR,Producer Price Index (YoY),European Monetary Union,1,-3.200,-3.100,-3.100
01/06/2016 10:00:00,EUR,Producer Price Index (MoM),European Monetary Union,1,-0.200,-0.300,-0.200
01/06/2016 12:01:21,USD,MBA Mortgage Applications,United States,1,-11.600,7.300,
01/06/2016 13:15:00,USD,ADP Employment Change,United States,2,257.000,217.000,192.000
01/06/2016 13:30:00,USD,Trade Balance,United States,2,-42.400,-43.890,-44.000
01/06/2016 14:45:00,USD,Markit Services PMI,United States,2,54.300,53.700,
01/06/2016 14:45:00,USD,Markit PMI Composite,United States,2,54.000,53.500,
